,K10 Market Cap,K10
2017-09-08,463915821494478.5,120.113545951508
2017-09-07,459783780230459.1,119.04370934485709
2017-09-06,455395278932252.8,117.90747206232106
2017-09-05,453364867032029.8,117.38177330022177
2017-09-04,448516293713925.8,116.1264176795248
2017-09-01,454827711997172.7,117.76052196064597
2017-08-31,454609929613617.6,117.70413540704601
2017-08-30,456997213563594.44,118.32223275820144
2017-08-29,456273827480826.75,118.13493915132834
2017-08-28,457089483634218.4,118.34612262109107
2017-08-25,461789371973458.4,119.56298186116547
2017-08-24,462890661093341.5,119.84811923992709
2017-08-23,462796740222126.6,119.82380196434003
2017-08-22,460504572275734.9,119.23033132332898
2017-08-21,459888074164035.4,119.07071233462952
2017-08-18,458854854009174.94,118.80319885309085
2017-08-17,458271376627919.3,118.65212934005001
2017-08-16,454559593268672.3,117.6911027045567
2017-08-14,447455798851189.0,115.85184243866252
2017-08-11,444566462308521.2,115.10375745964821
2017-08-10,454189315703466.94,117.59523326169132
2017-08-09,456700958400418.8,118.24552863105863
2017-08-08,466444347294364.8,120.76821256511008
2017-08-07,464181301208926.9,120.18228193420819
2017-08-04,461326625162307.94,119.44317098645554
2017-08-03,461218574902342.2,119.41519543730598
2017-08-02,470892084763668.9,121.91978682523876
2017-08-01,467633190963331.9,121.07601889989216
2017-07-31,466495345943710.94,120.78141674640308
2017-07-28,463796258190708.0,120.08258953287307
2017-07-27,479062364708766.3,124.03517338925106
2017-07-26,478452895219222.44,123.87737419778881
2017-07-25,481977754744668.1,124.7900039400087
2017-07-24,487179126162441.56,126.1367033536803
2017-07-21,488338943474093.94,126.436994405427
2017-07-20,488230335075425.56,126.40887434726183
2017-07-19,485070769537789.4,125.59082373806054
2017-07-18,484768201442400.4,125.5124851146614
2017-07-17,485395220539631.4,125.67482811668513
2017-07-14,484576305270729.44,125.4628008215936
2017-07-13,482691644774883.1,124.97483890138665
2017-07-12,476095355493796.1,123.26697799437787
2017-07-11,473934933408180.9,122.70761798673846
2017-07-10,468417090386502.2,121.27898015929264
2017-07-07,467760389450050.2,121.10895216185807
2017-07-06,468459841997061.25,121.29004908020775
2017-07-05,467364272394716.4,121.00639255530112
2017-07-04,464312864989125.0,120.2163454246653
2017-07-03,468065742598194.44,121.18801186987342
2017-06-30,467998510656665.3,121.17060468838896
2017-06-29,472199041492766.06,122.25817409263425
2017-06-28,470620785692052.0,121.84954413896807
2017-06-27,475331304195194.94,123.0691556599979
2017-06-26,476594973226201.06,123.39633520678355
2017-06-23,471160436732799.6,121.989266470213
2017-06-22,471293244812689.4,122.02365212525528
2017-06-21,467680011118741.06,121.08814121740676
2017-06-20,469775367254676.75,121.63065484565014
2017-06-19,463483630315250.9,120.00164630795034
2017-06-16,458958650081694.2,118.83007294047584
2017-06-15,458006089114185.44,118.5834431204928
2017-06-14,457371023911458.9,118.41901688220635
2017-06-13,458421317152317.5,118.69095079694551
2017-06-12,456836419550036.3,118.28060119867835
2017-06-09,468618393161827.8,121.33109993842919
2017-06-08,454469167567550.1,117.6676903717504
2017-06-07,453415613500188.0,117.39491218868511
2017-06-05,457194675655500.25,118.37335813688199
2017-06-02,455837480456906.5,118.02196350816186
2017-06-01,447169500087465.94,115.77771614652286
2017-05-31,448040488010352.0,116.00322569599622
2017-05-30,449436024557534.7,116.36454737424174
2017-05-29,454659751668910.3,117.71703495358123
2017-05-26,455996067010367.56,118.06302352895415
2017-05-25,452937318139195.4,117.27107560204769
2017-05-24,447786623410227.4,115.93749701010165
2017-05-23,447398278468559.8,115.83694969993283
2017-05-22,448839264084511.2,116.21003870439806
2017-05-19,442916783798410.94,114.67663528284679
2017-05-18,446195909334661.1,115.52564145493709
2017-05-17,447445713940488.3,115.84923133050724
2017-05-16,448838253269802.7,116.20977699196379
2017-05-15,446865547260252.44,115.69901899892183
2017-05-12,446823233911391.1,115.68806354938263
2017-05-11,448592769601769.0,116.14621823308006
2017-05-10,442327237206844.0,114.52399437616545
2017-05-08,452726941000493.9,117.21660635796118
2017-05-04,439402826513215.8,113.76682826551499
2017-05-02,433501756534032.75,112.23896823732214
2017-04-28,429351188507878.94,111.16433482273354
2017-04-27,425577129648384.75,110.18718428972687
2017-04-26,424498413200725.1,109.90789125508276
2017-04-25,423212768038656.56,109.57502181606688
2017-04-24,415277710759840.06,107.52053731063098
2017-04-21,412792210424439.6,106.87701052211389
2017-04-20,407331865529232.9,105.46325967100327
2017-04-19,405404252187745.56,104.96417672762874
2017-04-18,409947639341930.25,106.14051587459218
2017-04-17,410822548236309.5,106.36704061209707
2017-04-14,413107891932544.2,106.9587443703099
2017-04-13,416864749290652.44,107.93144122178336
2017-04-12,410466961710315.7,106.27497486104744
2017-04-11,408738808600283.3,105.8275346394046
2017-04-10,417259953243914.56,108.03376441491663
2017-04-07,417873032437280.06,108.1924982033591
2017-04-06,420816296400354.5,108.95454565873
2017-04-05,424384574543352.6,109.87841701822806
2017-04-04,425702184393555.4,110.21956251048277
2017-04-03,427644613041946.44,110.72248132011606
2017-03-31,424363749220128.44,109.87302508438543
2017-03-30,428592348359249.4,110.9678617195558
2017-03-29,428392838341680.44,110.91620610758324
